,GISJOIN,YEAR,STATE,COUNTY,TRACT,tot_age25,less_hs,hs,some_college,college,graduate,hinc
424,G1301210010001,2013-2017,Georgia,Fulton County,10001,3612,194,70,474,1935,939,103894
425,G1301210010002,2013-2017,Georgia,Fulton County,10002,5844,5,409,422,2928,2080,138864
426,G1301210010106,2013-2017,Georgia,Fulton County,10106,3114,58,474,648,1221,713,74167
427,G1301210010107,2013-2017,Georgia,Fulton County,10107,1474,9,124,236,754,351,174875
428,G1301210010108,2013-2017,Georgia,Fulton County,10108,2669,67,180,465,1022,935,148000
429,G1301210010110,2013-2017,Georgia,Fulton County,10110,4849,216,591,811,2033,1198,70456
430,G1301210010113,2013-2017,Georgia,Fulton County,10113,3606,573,420,773,1287,553,51344
431,G1301210010114,2013-2017,Georgia,Fulton County,10114,4850,524,751,781,1828,966,66186
432,G1301210010115,2013-2017,Georgia,Fulton County,10115,1916,93,219,383,755,466,116923
433,G1301210010117,2013-2017,Georgia,Fulton County,10117,2747,100,479,868,846,454,55782
434,G1301210010118,2013-2017,Georgia,Fulton County,10118,3712,271,1232,1155,754,300,43902
435,G1301210010119,2013-2017,Georgia,Fulton County,10119,3432,350,957,745,1101,279,43621
436,G1301210010120,2013-2017,Georgia,Fulton County,10120,1878,125,283,563,614,293,67727
437,G1301210010121,2013-2017,Georgia,Fulton County,10121,1843,35,154,347,807,500,86402
438,G1301210010122,2013-2017,Georgia,Fulton County,10122,4987,113,342,763,2196,1573,78542
439,G1301210010123,2013-2017,Georgia,Fulton County,10123,3542,226,684,694,1141,797,69479
440,G1301210010204,2013-2017,Georgia,Fulton County,10204,3589,30,95,463,1453,1548,163214
441,G1301210010205,2013-2017,Georgia,Fulton County,10205,4088,114,200,760,1781,1233,111103
442,G1301210010206,2013-2017,Georgia,Fulton County,10206,4302,52,234,461,1684,1871,177188
443,G1301210010208,2013-2017,Georgia,Fulton County,10208,3568,121,409,848,1535,655,56897
444,G1301210010209,2013-2017,Georgia,Fulton County,10209,4263,117,916,1106,1349,775,60614
445,G1301210010210,2013-2017,Georgia,Fulton County,10210,4568,116,836,853,1944,819,72979
446,G1301210010211,2013-2017,Georgia,Fulton County,10211,2037,66,271,245,734,721,138393
447,G1301210010212,2013-2017,Georgia,Fulton County,10212,3494,934,411,404,1068,677,52270
448,G1301210010301,2013-2017,Georgia,Fulton County,10301,11530,846,2618,3259,2712,2095,65340
449,G1301210010303,2013-2017,Georgia,Fulton County,10303,7156,339,1373,2119,1693,1632,63209
450,G1301210010304,2013-2017,Georgia,Fulton County,10304,10204,485,1794,2781,3233,1911,79397
451,G1301210010400,2013-2017,Georgia,Fulton County,10400,5424,940,1895,1461,668,460,50294
452,G1301210010507,2013-2017,Georgia,Fulton County,10507,4369,662,1443,1227,642,395,39190
453,G1301210010508,2013-2017,Georgia,Fulton County,10508,2230,239,747,664,331,249,46983
454,G1301210010510,2013-2017,Georgia,Fulton County,10510,9473,957,3126,3606,1007,777,38223
455,G1301210010511,2013-2017,Georgia,Fulton County,10511,4884,401,1204,1678,1114,487,58173
456,G1301210010512,2013-2017,Georgia,Fulton County,10512,3730,263,1235,1281,693,258,30819
457,G1301210010513,2013-2017,Georgia,Fulton County,10513,8410,879,3204,2339,1443,545,43931
458,G1301210010514,2013-2017,Georgia,Fulton County,10514,8188,645,2245,3183,1154,961,56991
459,G1301210010515,2013-2017,Georgia,Fulton County,10515,3396,462,748,1124,653,409,43316
460,G1301210010516,2013-2017,Georgia,Fulton County,10516,6087,433,1506,2926,904,318,50030
461,G1301210010601,2013-2017,Georgia,Fulton County,10601,2407,311,762,500,507,327,29786
462,G1301210010603,2013-2017,Georgia,Fulton County,10603,2340,357,858,817,258,50,29066
463,G1301210010604,2013-2017,Georgia,Fulton County,10604,1998,303,628,558,346,163,33133
464,G1301210010800,2013-2017,Georgia,Fulton County,10800,4492,905,1384,1253,693,257,44828
465,G1301210011000,2013-2017,Georgia,Fulton County,11000,1932,427,794,494,183,34,27344
466,G1301210011100,2013-2017,Georgia,Fulton County,11100,2005,192,525,724,323,241,51848
467,G1301210011201,2013-2017,Georgia,Fulton County,11201,2495,306,539,1023,510,117,35470
468,G1301210011202,2013-2017,Georgia,Fulton County,11202,2994,299,1121,877,532,165,40150
469,G1301210011301,2013-2017,Georgia,Fulton County,11301,3499,328,1136,946,718,371,51148
470,G1301210011303,2013-2017,Georgia,Fulton County,11303,6056,554,1397,2028,1180,897,45000
471,G1301210011305,2013-2017,Georgia,Fulton County,11305,3241,266,1259,1059,499,158,25823
472,G1301210011306,2013-2017,Georgia,Fulton County,11306,1594,179,525,596,192,102,34907
473,G1301210011405,2013-2017,Georgia,Fulton County,11405,5135,450,1064,1215,1681,725,63890
474,G1301210011410,2013-2017,Georgia,Fulton County,11410,4951,232,289,1285,2066,1079,116102
475,G1301210011411,2013-2017,Georgia,Fulton County,11411,5823,243,1022,1452,1823,1283,70663
476,G1301210011412,2013-2017,Georgia,Fulton County,11412,6307,367,779,1450,2753,958,85333
477,G1301210011414,2013-2017,Georgia,Fulton County,11414,5121,97,512,1422,1890,1200,72663
478,G1301210011416,2013-2017,Georgia,Fulton County,11416,3833,207,401,923,1608,694,103813
479,G1301210011417,2013-2017,Georgia,Fulton County,11417,3834,51,443,927,1405,1008,96538
480,G1301210011418,2013-2017,Georgia,Fulton County,11418,4404,83,407,897,1879,1138,130653
481,G1301210011419,2013-2017,Georgia,Fulton County,11419,4040,96,511,812,1757,864,105714
482,G1301210011420,2013-2017,Georgia,Fulton County,11420,4472,1760,1312,637,583,180,41275
483,G1301210011421,2013-2017,Georgia,Fulton County,11421,2663,451,507,703,631,371,47428
484,G1301210011422,2013-2017,Georgia,Fulton County,11422,2788,79,622,587,973,527,64402
485,G1301210011423,2013-2017,Georgia,Fulton County,11423,3532,78,334,690,1458,972,116250
486,G1301210011424,2013-2017,Georgia,Fulton County,11424,4372,53,556,1242,1758,763,104861
487,G1301210011425,2013-2017,Georgia,Fulton County,11425,4955,139,334,791,2290,1401,198808
488,G1301210011426,2013-2017,Georgia,Fulton County,11426,1566,145,327,269,585,240,101500
489,G1301210011427,2013-2017,Georgia,Fulton County,11427,5255,120,595,1272,2205,1063,108295
490,G1301210011503,2013-2017,Georgia,Fulton County,11503,6687,106,566,1205,2897,1913,147394
491,G1301210011504,2013-2017,Georgia,Fulton County,11504,8061,95,714,1278,3938,2036,193419
492,G1301210011505,2013-2017,Georgia,Fulton County,11505,2895,140,161,580,1456,558,179000
493,G1301210011506,2013-2017,Georgia,Fulton County,11506,4158,36,298,723,2004,1097,155980
494,G1301210011610,2013-2017,Georgia,Fulton County,11610,3736,105,436,877,1572,746,102656
495,G1301210011611,2013-2017,Georgia,Fulton County,11611,5869,618,1385,1598,1744,524,59095
496,G1301210011612,2013-2017,Georgia,Fulton County,11612,2512,83,263,477,985,704,110329
497,G1301210011613,2013-2017,Georgia,Fulton County,11613,4514,118,817,997,1561,1021,101902
498,G1301210011614,2013-2017,Georgia,Fulton County,11614,9971,282,1166,2701,3158,2664,74191
499,G1301210011615,2013-2017,Georgia,Fulton County,11615,6732,273,606,1241,2879,1733,136921
500,G1301210011616,2013-2017,Georgia,Fulton County,11616,4287,156,466,891,1460,1314,71145
501,G1301210011617,2013-2017,Georgia,Fulton County,11617,5132,83,345,1392,2127,1185,106367
502,G1301210011618,2013-2017,Georgia,Fulton County,11618,2930,10,236,440,1356,888,110335
503,G1301210011619,2013-2017,Georgia,Fulton County,11619,5471,238,440,1106,2118,1569,80469
504,G1301210011620,2013-2017,Georgia,Fulton County,11620,6850,135,1014,949,3062,1690,120227
505,G1301210011621,2013-2017,Georgia,Fulton County,11621,4645,332,420,573,1762,1558,155842
506,G1301210011622,2013-2017,Georgia,Fulton County,11622,6517,168,555,891,2678,2225,137643
507,G1301210011623,2013-2017,Georgia,Fulton County,11623,8025,437,723,1364,3341,2160,104164
508,G1301210011624,2013-2017,Georgia,Fulton County,11624,2630,76,243,330,1141,840,184830
509,G1301210011625,2013-2017,Georgia,Fulton County,11625,4871,354,341,768,1969,1439,107175
510,G1301210011626,2013-2017,Georgia,Fulton County,11626,6218,433,701,1373,1985,1726,94803
511,G1301210011800,2013-2017,Georgia,Fulton County,11800,973,84,242,262,244,141,16087
512,G1301210011900,2013-2017,Georgia,Fulton County,11900,2045,226,396,543,451,429,26032
513,G1301210012000,2013-2017,Georgia,Fulton County,12000,2169,488,811,498,242,130,28902
514,G1301210012300,2013-2017,Georgia,Fulton County,12300,1842,282,347,593,371,249,48155
